date,uboat,commander,ship_name,tonnage,nationality,convoy,coordinates
3 Jun 1942,U-404,Otto von Bülow,Anna,"1,345",sw,-,"[('34.17', '-68.37')]"
3 Jun 1942,U-432,Heinz-Otto Schultze,Aeolus,41,am,-,"[('43.12', '-66.85')]"
3 Jun 1942,U-432,Heinz-Otto Schultze,Ben and Josephine,102,am,-,"[('43.12', '-66.85')]"
3 Jun 1942,U-502,Jürgen von Rosenstiel,M.F. Elliott,"6,940",am,-,"[('12.07', '-63.82')]"
4 Jun 1942,U-158,Erwin Rostin,Nidarnes,"2,647",nw,-,"[('21.28', '-85.12')]"
5 Jun 1942,U-158,Erwin Rostin,Velma Lykes,"2,572",am,-,"[('21.35', '-86.60')]"
5 Jun 1942,U-159,Helmut Friedrich Witte,Paracury (d.),265,bz,-,
5 Jun 1942,U-159,Helmut Friedrich Witte,Sally,150,ho,-,"[('16.75', '-70.25')]"
5 Jun 1942,U-172,Carl Emmermann,Delfina,"3,480",am,-,"[('20.37', '-67.12')]"
5 Jun 1942,U-68,Karl-Friedrich Merten,L.J. Drake,"6,693",am,-,"[('17.50', '-68.33')]"
5 Jun 1942,U-69,Ulrich Gräf,Letitia Porter,15,nl,-,"[('18.25', '-53.75')]"
5 Jun 1942,U-94,Otto Ites,Maria da Glória,320,pt,-,"[('50.23', '-39.20')]"
6 Jun 1942,U-68,Karl-Friedrich Merten,C.O. Stillman,"13,006",pa,-,"[('17.55', '-67.92')]"
7 Jun 1942,U-107,Harald Gelhaus,Castilla,"3,910",ho,-,"[('20.25', '-83.30')]"
7 Jun 1942,U-158,Erwin Rostin,Hermis,"5,234",pa,-,"[('23.13', '-84.70')]"
7 Jun 1942,U-159,Helmut Friedrich Witte,Edith,"3,382",am,-,"[('14.55', '-74.58')]"
7 Jun 1942,U-653,Gerhard Feiler,USS Gannet (AVP 8),840,am,-,"[('35.83', '-65.63')]"
8 Jun 1942,U-107,Harald Gelhaus,Suwied,"3,249",am,-,"[('20.00', '-84.80')]"
8 Jun 1942,U-128,Ulrich Heyse,South Africa,"9,234",nw,-,"[('12.78', '-49.73')]"
8 Jun 1942,U-135,Friedrich-Hermann Praetorius,Pleasantville,"4,549",nw,-,"[('34.20', '-68.00')]"
8 Jun 1942,U-172,Carl Emmermann,Sicilien,"1,654",am,-,"[('17.50', '-71.33')]"
8 Jun 1942,U-504,Hans-Georg Friedrich Poske,Rosenborg,"1,512",br,-,"[('61.00', '-15.00')]"
8 Jun 1942,U-504,Hans-Georg Friedrich Poske,Tela,"3,901",ho,-,"[('18.25', '-85.33')]"
8 Jun 1942,U-83,Hans-Werner Kraus,Esther,100,pl,-,"[('33.58', '35.25')]"
8 Jun 1942,U-83,Hans-Werner Kraus,Said,231,ag,-,"[('32.15', '34.43')]"
9 Jun 1942,U-124,Johann Mohr,FFL Mimosa (K 11),925,fr,ONS-100,"[('52.20', '-32.62')]"
9 Jun 1942,U-432,Heinz-Otto Schultze,Kronprinsen (d.),"7,073",nw,BX-23A,
9 Jun 1942,U-432,Heinz-Otto Schultze,Malayan Prince (d.),"8,593",br,BX-23A,
9 Jun 1942,U-502,Jürgen von Rosenstiel,Bruxelles,"5,085",be,TO-5,"[('11.08', '-66.68')]"
9 Jun 1942,U-502,Jürgen von Rosenstiel,Franklin K. Lane,"6,589",am,TO-5,"[('11.20', '-66.65')]"
9 Jun 1942,U-83,Hans-Werner Kraus,Typhoon,175,pl,-,"[('33.65', '35.23')]"
10 Jun 1942,U-107,Harald Gelhaus,Merrimack,"2,606",am,-,"[('19.78', '-85.92')]"
10 Jun 1942,U-129,Hans-Ludwig Witt,L.A. Christensen,"4,362",nw,-,"[('27.73', '-63.90')]"
10 Jun 1942,U-559,Hans Heidtmann,Athene,"4,681",nw,AT-49,"[('31.20', '28.17')]"
10 Jun 1942,U-559,Hans Heidtmann,Brambleleaf (t.),"5,917",br,AT-49,
10 Jun 1942,U-68,Karl-Friedrich Merten,Ardenvohr,"5,025",br,-,"[('12.75', '-80.33')]"
10 Jun 1942,U-68,Karl-Friedrich Merten,Port Montreal,"5,882",br,-,"[('12.28', '-80.33')]"
10 Jun 1942,U-68,Karl-Friedrich Merten,Surrey,"8,581",br,-,"[('12.75', '-80.33')]"
10 Jun 1942,U-81,Friedrich Guggenberger,Havre,"2,073",br,AT-49,"[('31.17', '28.60')]"
10 Jun 1942,U-94,Otto Ites,Empire Clough,"6,147",br,ONS-100,"[('51.83', '-35.00')]"
10 Jun 1942,U-94,Otto Ites,Ramsay,"4,855",br,ONS-100,"[('51.88', '-34.98')]"
11 Jun 1942,U-157,Wolf Henne,Hagan,"6,401",am,-,"[('22.00', '-77.50')]"
11 Jun 1942,U-158,Erwin Rostin,Sheherazade,"13,467",pa,-,"[('28.68', '-91.33')]"
11 Jun 1942,U-159,Helmut Friedrich Witte,Fort Good Hope,"7,130",br,-,"[('10.32', '-80.27')]"
11 Jun 1942,U-455,Hans-Heinrich Giessler,Geo H. Jones,"6,914",br,SL-111,"[('45.67', '-22.67')]"
11 Jun 1942,U-504,Hans-Georg Friedrich Poske,American,"4,846",am,-,"[('17.97', '-84.47')]"
11 Jun 1942,U-504,Hans-Georg Friedrich Poske,Crijnssen,"4,282",nl,-,"[('18.23', '-82.18')]"
11 Jun 1942,U-569,Hans-Peter Hinsch,Pontypridd (d.),"4,458",br,ONS-100,
11 Jun 1942,U-94,Otto Ites,Pontypridd,"4,458",br,ONS-100,"[('49.83', '-41.62')]"
12 Jun 1942,U-124,Johann Mohr,Dartford,"4,093",br,ONS-100,"[('49.32', '-41.55')]"
12 Jun 1942,U-129,Hans-Ludwig Witt,Hardwicke Grange,"9,005",br,-,"[('25.75', '-65.75')]"
12 Jun 1942,U-158,Erwin Rostin,Cities Service Toledo,"8,192",am,-,"[('29.03', '-91.98')]"
12 Jun 1942,U-77,Heinrich Schonder,HMS Grove (L 77),"1,050",br,MW-11,"[('32.08', '25.50')]"
13 Jun 1942,U-159,Helmut Friedrich Witte,Sixaola,"4,693",am,-,"[('9.68', '-81.17')]"
13 Jun 1942,U-159,Helmut Friedrich Witte,Solon Turman,"6,762",am,-,"[('10.75', '-80.40')]"
13 Jun 1942,U-83,Hans-Werner Kraus,HMS Farouk,96,br,-,"[('34.32', '35.73')]"
14 Jun 1942,U-172,Carl Emmermann,Lebore,"8,289",am,-,"[('12.88', '-80.67')]"
14 Jun 1942,U-504,Hans-Georg Friedrich Poske,Regent,"3,280",le,-,"[('17.83', '-84.17')]"
15 Jun 1942,U-126,Ernst Bauer,Dutch Princess,125,br,-,"[('13.77', '-60.10')]"
15 Jun 1942,U-172,Carl Emmermann,Bennestvet,"2,438",nw,-,"[('10.78', '-82.20')]"
15 Jun 1942,U-431,Wilhelm Dommes,HMS LCT-119 (d.),450,br,-,
15 Jun 1942,U-502,Jürgen von Rosenstiel,Cold Harbor,"5,010",pa,-,"[('11.67', '-62.92')]"
15 Jun 1942,U-502,Jürgen von Rosenstiel,Scottsburg,"8,001",am,-,"[('11.85', '-62.93')]"
15 Jun 1942,U-502,Jürgen von Rosenstiel,West Hardaway,"5,702",am,-,"[('11.83', '-62.25')]"
15 Jun 1942,U-552,Erich Topp,City of Oxford,"2,759",br,HG-84,"[('43.70', '-18.20')]"
15 Jun 1942,U-552,Erich Topp,Etrib,"1,943",br,HG-84,"[('43.30', '-17.63')]"
15 Jun 1942,U-552,Erich Topp,Pelayo,"1,346",br,HG-84,"[('43.30', '-17.63')]"
15 Jun 1942,U-552,Erich Topp,Slemdal,"7,374",nw,HG-84,"[('43.30', '-17.63')]"
15 Jun 1942,U-552,Erich Topp,Thurso,"2,436",br,HG-84,"[('43.68', '-18.03')]"
15 Jun 1942,U-68,Karl-Friedrich Merten,Frimaire,"9,242",fr,-,"[('11.83', '-73.67')]"
15 Jun 1942,U-701,Horst Degen,Esso Augusta (d.) [Mine],"11,237",am,KN-109,
15 Jun 1942,U-701,Horst Degen,HMS Kingston Ceylonite (FY 214) [Mine],448,br,KN-109,
15 Jun 1942,U-701,Horst Degen,Robert C. Tuttle (d.) [Mine],"11,615",am,KN-109,
15 Jun 1942,U-701,Horst Degen,USS Bainbridge (DD 246) (d.) [Mine],"1,190",am,KN-109,
16 Jun 1942,U-126,Ernst Bauer,Arkansan,"6,997",am,-,"[('12.12', '-62.85')]"
16 Jun 1942,U-126,Ernst Bauer,Kahuku,"6,062",am,-,"[('11.90', '-63.12')]"
16 Jun 1942,U-161,Albrecht Achilles,Nueva Altagracia,30,do,-,"[('13.45', '-68.58')]"
16 Jun 1942,U-205,Franz-Georg Reschke,HMS Hermione (74),"5,450",br,MW-11,"[('33.33', '26.00')]"
16 Jun 1942,U-67,Günther Müller-Stöckheim,Managua,"2,220",ni,-,"[('24.08', '-81.67')]"
16 Jun 1942,U-87,Joachim Berger,Cherokee,"5,896",am,XB-25,"[('42.42', '-69.17')]"
16 Jun 1942,U-87,Joachim Berger,Port Nicholson,"8,402",br,XB-25,"[('42.18', '-69.42')]"
17 Jun 1942,U-129,Hans-Ludwig Witt,Millinocket,"3,274",am,-,"[('23.20', '-79.97')]"
17 Jun 1942,U-158,Erwin Rostin,Moira,"1,560",nw,-,"[('25.58', '-96.33')]"
17 Jun 1942,U-158,Erwin Rostin,San Blas,"3,601",pa,-,"[('25.43', '-95.55')]"
17 Jun 1942,U-701,Horst Degen,Santore [Mine],"7,117",am,KS-511,
18 Jun 1942,U-124,Johann Mohr,Seattle Spirit,"5,627",am,ONS-102,"[('50.40', '-42.62')]"
18 Jun 1942,U-159,Helmut Friedrich Witte,Flora,"1,417",nl,-,
18 Jun 1942,U-172,Carl Emmermann,Motorex,"1,958",br,-,"[('10.17', '-81.50')]"
19 Jun 1942,U-107,Harald Gelhaus,Cheerio,35,am,-,"[('18.03', '-67.67')]"
19 Jun 1942,U-159,Helmut Friedrich Witte,Ante Matkovic,"2,710",yu,-,"[('12.08', '-72.50')]"
19 Jun 1942,U-701,Horst Degen,USS YP-389,170,am,-,"[('34.83', '-75.33')]"
20 Jun 1942,U-67,Günther Müller-Stöckheim,Nortind (d.),"8,221",nw,-,
21 Jun 1942,U-128,Ulrich Heyse,West Ira,"5,681",am,-,"[('12.47', '-57.08')]"
22 Jun 1942,U-159,Helmut Friedrich Witte,E.J. Sadler,"9,639",am,-,"[('15.60', '-67.87')]"
22 Jun 1942,U-202,Hans-Heinz Linder,Rio Tercero,"4,864",ar,-,"[('39.25', '-72.53')]"
23 Jun 1942,U-128,Ulrich Heyse,Andrea Brøvig,"10,173",nw,-,"[('12.17', '-59.17')]"
23 Jun 1942,U-158,Erwin Rostin,Major General Henry Gibbins,"5,766",am,-,"[('24.58', '-87.75')]"
23 Jun 1942,U-172,Carl Emmermann,Resolute,35,co,-,"[('13.25', '-80.50')]"
23 Jun 1942,U-67,Günther Müller-Stöckheim,Rawleigh Warner,"3,664",am,-,"[('28.88', '-89.25')]"
23 Jun 1942,U-68,Karl-Friedrich Merten,Arriaga,"2,345",pa,-,"[('13.13', '-72.27')]"
23 Jun 1942,U-84,Horst Uphoff,Torvanger,"6,568",nw,HX-194,"[('39.67', '-41.50')]"
24 Jun 1942,U-156,Werner Hartenstein,Willimantic,"4,857",br,-,"[('25.92', '-51.97')]"
24 Jun 1942,U-373,Paul-Karl Loeser,John R. Williams [Mine],396,am,-,
24 Jun 1942,U-404,Otto von Bülow,Ljubica Matkovic,"3,289",yu,-,"[('34.50', '-75.67')]"
25 Jun 1942,U-153,Wilfried Reichmann,Anglo-Canadian,"5,268",br,-,"[('25.20', '-55.52')]"
25 Jun 1942,U-404,Otto von Bülow,Manuela,"4,772",am,-,"[('34.50', '-75.67')]"
25 Jun 1942,U-404,Otto von Bülow,Nordal,"3,845",pa,-,"[('34.50', '-75.67')]"
26 Jun 1942,U-107,Harald Gelhaus,Jagersfontein,"10,083",nl,-,"[('31.93', '-54.80')]"
26 Jun 1942,U-203,Rolf Mützelburg,Pedrinhas,"3,666",bz,-,"[('23.12', '-62.10')]"
26 Jun 1942,U-203,Rolf Mützelburg,Putney Hill,"5,216",br,-,"[('24.33', '-63.27')]"
26 Jun 1942,U-701,Horst Degen,Tamesis (d.),"7,256",nw,-,
27 Jun 1942,U-126,Ernst Bauer,Leiv Eiriksson,"9,952",nw,-,"[('13.30', '-59.95')]"
27 Jun 1942,U-128,Ulrich Heyse,Polybius,"7,041",am,-,"[('10.92', '-57.67')]"
27 Jun 1942,U-129,Hans-Ludwig Witt,Las Choapas,"2,005",me,-,"[('20.25', '-96.33')]"
27 Jun 1942,U-129,Hans-Ludwig Witt,Tuxpam,"7,008",me,-,"[('20.25', '-96.33')]"
27 Jun 1942,U-153,Wilfried Reichmann,Potlatch,"6,085",am,-,"[('19.33', '-53.30')]"
27 Jun 1942,U-404,Otto von Bülow,Moldanger,"6,827",nw,-,"[('38.05', '-70.87')]"
27 Jun 1942,U-701,Horst Degen,British Freedom (d.),"6,985",br,KS-514,
28 Jun 1942,U-154,Walther Kölle,Tillie Lykes,"2,572",am,-,"[('16.95', '-69.75')]"
28 Jun 1942,U-203,Rolf Mützelburg,Sam Houston,"7,176",am,-,"[('19.35', '-62.37')]"
28 Jun 1942,U-332,Johannes Liebe,Raphael Semmes,"6,027",am,-,"[('29.50', '-64.50')]"
28 Jun 1942,U-505,Axel-Olaf Loewe,Sea Thrush,"5,447",am,-,"[('22.63', '-60.98')]"
28 Jun 1942,U-701,Horst Degen,William Rockefeller,"14,054",am,-,"[('35.12', '-75.12')]"
28 Jun 1942,U-97,Friedrich Bürgel,Memas,"1,755",gr,Metril,"[('32.45', '34.72')]"
28 Jun 1942,U-97,Friedrich Bürgel,Zealand,"1,433",br,Metril,"[('32.45', '34.72')]"
29 Jun 1942,U-126,Ernst Bauer,Mona Marie,126,ca,-,"[('12.37', '-60.17')]"
29 Jun 1942,U-153,Wilfried Reichmann,Ruth,"4,833",am,-,"[('21.67', '-59.33')]"
29 Jun 1942,U-158,Erwin Rostin,Everalda,"3,950",le,-,"[('31.00', '-70.75')]"
29 Jun 1942,U-505,Axel-Olaf Loewe,Thomas McKean,"7,191",am,-,"[('22.00', '-60.00')]"
29 Jun 1942,U-67,Günther Müller-Stöckheim,Empire Mica,"8,032",br,-,"[('29.42', '-85.28')]"
29 Jun 1942,U-754,Hans Oestermann,Waiwera,"12,435",br,-,"[('45.82', '-34.48')]"
30 Jun 1942,U-372,Heinz-Joachim Neumann,HMS Medway (F 25),"14,650",br,-,"[('32.05', '30.58')]"
30 Jun 1942,U-458,Kurt Diggins,Mosfruit,"2,714",nw,-,"[('56.17', '-23.67')]"
1 Jul 1942,U-129,Hans-Ludwig Witt,Cadmus,"1,855",nw,-,"[('22.83', '-92.50')]"
1 Jul 1942,U-202,Hans-Heinz Linder,City of Birmingham,"5,861",am,-,"[('35.17', '-70.88')]"
1 Jul 1942,U-97,Friedrich Bürgel,Marilyse Moller,786,br,-,"[('31.37', '33.73')]"
2 Jul 1942,U-129,Hans-Ludwig Witt,Gundersen,"1,841",nw,-,"[('23.55', '-92.58')]"
3 Jul 1942,U-126,Ernst Bauer,Gulfbelle (d.),"7,104",am,-,
3 Jul 1942,U-161,Albrecht Achilles,San Pablo (t.),"3,305",pa,-,
3 Jul 1942,U-215,Fritz Hoeckner,Alexander Macomb,"7,191",am,BX-27,"[('41.80', '-66.58')]"
4 Jul 1942,U-129,Hans-Ludwig Witt,Tuapse,"6,320",sj,-,"[('22.22', '-86.10')]"
4 Jul 1942,U-334,Hilmar Siemon,William Hooper,"7,177",am,PQ-17,"[('75.95', '27.25')]"
4 Jul 1942,U-457,Karl Brandenburg,Christopher Newport,"7,191",am,PQ-17,"[('75.82', '22.42')]"
4 Jul 1942,U-575,Günther Heydemann,Norlandia,"2,689",am,-,"[('19.55', '-68.65')]"
5 Jul 1942,U-334,Hilmar Siemon,Earlston,"7,195",br,PQ-17,"[('74.90', '37.67')]"
5 Jul 1942,U-456,Max-Martin Teichert,Honomu,"6,977",am,PQ-17,"[('75.08', '38.00')]"
5 Jul 1942,U-703,Heinz Bielfeld,Empire Byron,"6,645",br,PQ-17,"[('76.30', '33.50')]"
5 Jul 1942,U-703,Heinz Bielfeld,River Afton,"5,479",br,PQ-17,"[('75.95', '43.00')]"
5 Jul 1942,U-88,Heino Bohmann,Carlton,"5,127",am,PQ-17,"[('72.83', '24.58')]"
5 Jul 1942,U-88,Heino Bohmann,Daniel Morgan,"7,177",am,PQ-17,"[('75.13', '45.10')]"
6 Jul 1942,U-132,Ernst Vogelsang,Anastassios Pateras,"3,382",gr,QS-15,"[('49.50', '-66.50')]"
6 Jul 1942,U-132,Ernst Vogelsang,Dinaric,"2,555",br,QS-15,"[('49.50', '-66.50')]"
6 Jul 1942,U-132,Ernst Vogelsang,Hainaut,"4,312",be,QS-15,"[('49.50', '-66.50')]"
6 Jul 1942,U-154,Walther Kölle,Lalita,65,pa,-,"[('21.75', '-86.67')]"
6 Jul 1942,U-201,Adalbert Schnee,Avila Star,"14,443",br,-,"[('38.07', '-22.80')]"
6 Jul 1942,U-255,Reinhart Reche,John Witherspoon,"7,191",am,PQ-17,"[('72.08', '48.50')]"
6 Jul 1942,U-375,Jürgen Koenenkamp,Hero,"1,376",nw,-,"[('32.38', '34.58')]"
6 Jul 1942,U-67,Günther Müller-Stöckheim,Bayard,"2,160",nw,-,"[('29.58', '-88.73')]"
7 Jul 1942,U-255,Reinhart Reche,Alcoa Ranger,"5,116",am,PQ-17,"[('71.63', '49.58')]"
7 Jul 1942,U-355,Günter La Baume,Hartlebury,"5,082",br,PQ-17,"[('72.50', '52.00')]"
7 Jul 1942,U-457,Karl Brandenburg,Aldersdale,"8,402",br,PQ-17,"[('75.00', '45.00')]"
7 Jul 1942,U-571,Helmut Möhlmann,Umtata,"8,141",br,-,"[('25.58', '-80.03')]"
7 Jul 1942,U-67,Günther Müller-Stöckheim,Paul H. Harwood (d.),"6,610",am,-,
8 Jul 1942,U-255,Reinhart Reche,Olopana,"6,069",am,PQ-17,"[('72.17', '51.00')]"
8 Jul 1942,U-571,Helmut Möhlmann,"J.A. Moffett, Jr. (t.)","9,788",am,-,
9 Jul 1942,U-172,Carl Emmermann,Santa Rita,"8,379",am,-,"[('26.18', '-55.67')]"
9 Jul 1942,U-203,Rolf Mützelburg,Cape Verde,"6,914",br,-,"[('11.53', '-60.28')]"
9 Jul 1942,U-571,Helmut Möhlmann,Nicholas Cuneo,"1,051",ho,-,"[('23.90', '-82.55')]"
9 Jul 1942,U-575,Günther Heydemann,Empire Explorer,"5,345",br,-,"[('11.67', '-60.92')]"
9 Jul 1942,U-66,Friedrich Markworth,Triglav,"6,363",yu,-,"[('26.78', '-48.17')]"
10 Jul 1942,U-251,Heinrich Timm,El Capitan,"5,255",pa,PQ-17,"[('69.38', '40.83')]"
10 Jul 1942,U-376,Friedrich-Karl Marks,Hoosier,"5,060",am,PQ-17,"[('69.42', '38.58')]"
10 Jul 1942,U-67,Günther Müller-Stöckheim,Benjamin Brewster,"5,950",am,-,"[('29.08', '-90.08')]"
11 Jul 1942,U-166,Hans-Günther Kuhlmann,Carmen,84,do,-,"[('19.72', '-70.20')]"
11 Jul 1942,U-203,Rolf Mützelburg,Stanvac Palembang,"10,013",pa,-,"[('11.47', '-60.38')]"
12 Jul 1942,U-116,Werner von Schmidt,Cortona (d.),"7,093",br,OS-33,
12 Jul 1942,U-116,Werner von Schmidt,Shaftesbury,"4,284",br,OS-33,"[('31.70', '-25.50')]"
12 Jul 1942,U-129,Hans-Ludwig Witt,Tachirá,"2,325",am,-,"[('18.25', '-81.75')]"
12 Jul 1942,U-201,Adalbert Schnee,Cortona,"7,093",br,OS-33,"[('32.75', '-24.75')]"
12 Jul 1942,U-201,Adalbert Schnee,Siris,"5,242",br,OS-33,"[('31.33', '-24.80')]"
12 Jul 1942,U-582,Werner Schulte,HMNZS ML-1090 [Trans.],46,nz,-,
12 Jul 1942,U-582,Werner Schulte,Port Hunter,"8,826",br,OS-33,"[('31.25', '-23.83')]"
13 Jul 1942,U-166,Hans-Günther Kuhlmann,Oneida,"2,309",am,-,"[('20.28', '-74.10')]"
13 Jul 1942,U-201,Adalbert Schnee,Sithonia,"6,723",br,OS-33,"[('29.00', '-25.00')]"
13 Jul 1942,U-255,Reinhart Reche,Paulus Potter,"7,168",nl,PQ-17,"[('75.95', '40.17')]"
13 Jul 1942,U-67,Günther Müller-Stöckheim,R.W. Gallagher,"7,989",am,-,"[('28.83', '-91.08')]"
13 Jul 1942,U-84,Horst Uphoff,Andrew Jackson,"5,990",am,-,"[('23.53', '-81.03')]"
14 Jul 1942,U-562,Horst Hamm,Adinda (d.),"3,359",nl,-,
15 Jul 1942,U-201,Adalbert Schnee,British Yeoman,"6,990",br,-,"[('26.70', '-24.33')]"
15 Jul 1942,U-571,Helmut Möhlmann,Pennsylvania Sun (d.),"11,394",am,-,
15 Jul 1942,U-576,Hans-Dieter Heinicke,Bluefields,"2,063",ni,KS-520,"[('34.77', '-75.37')]"
15 Jul 1942,U-576,Hans-Dieter Heinicke,Chilore (d.),"8,310",am,KS-520,
15 Jul 1942,U-576,Hans-Dieter Heinicke,J.A. Mowinckel (d.),"11,147",pa,KS-520,
15 Jul 1942,U-582,Werner Schulte,Empire Attendant,"7,524",br,OS-33,"[('23.80', '-21.85')]"
16 Jul 1942,U-160,Georg Lassen,Beaconlight,"6,926",pa,-,"[('10.98', '-61.08')]"
16 Jul 1942,U-161,Albrecht Achilles,Fairport,"6,165",am,AS-4,"[('27.17', '-64.55')]"
16 Jul 1942,U-166,Hans-Günther Kuhlmann,Gertrude,16,am,-,"[('23.53', '-82.00')]"
18 Jul 1942,U-160,Georg Lassen,Carmona,"5,496",pa,-,"[('10.97', '-61.33')]"
18 Jul 1942,U-575,Günther Heydemann,Comrade,69,br,-,"[('11.33', '-58.83')]"
18 Jul 1942,U-575,Günther Heydemann,Glacier,75,br,-,"[('10.83', '-58.97')]"
18 Jul 1942,U-575,Günther Heydemann,San Gaspar (d.),"12,910",br,-,
19 Jul 1942,U-129,Hans-Ludwig Witt,Port Antonio,"1,266",nw,-,"[('23.65', '-84.00')]"
19 Jul 1942,U-332,Johannes Liebe,Leonidas M.,"4,573",gr,-,"[('37.02', '-52.07')]"
19 Jul 1942,U-564,Reinhard Suhren,Empire Hawksbill,"5,724",br,OS-34,"[('42.48', '-25.93')]"
19 Jul 1942,U-564,Reinhard Suhren,Lavington Court,"5,372",br,OS-34,"[('42.63', '-25.47')]"
19 Jul 1942,U-84,Horst Uphoff,Baja California,"1,648",ho,-,"[('25.23', '-82.45')]"
20 Jul 1942,U-132,Ernst Vogelsang,Frederika Lensen (t.),"4,367",br,QS-19,
21 Jul 1942,U-160,Georg Lassen,Donovania,"8,149",br,-,"[('10.93', '-61.17')]"
21 Jul 1942,U-84,Horst Uphoff,William Cullen Bryant (d.),"7,176",am,TAW-4J,
22 Jul 1942,U-505,Axel-Olaf Loewe,Urious,153,co,-,"[('12.40', '-81.47')]"
22 Jul 1942,U-582,Werner Schulte,Honolulan,"7,493",am,-,"[('8.68', '-22.20')]"
22 Jul 1942,U-77,Heinrich Schonder,Vassiliki,140,gr,-,"[('34.75', '34.58')]"
23 Jul 1942,U-129,Hans-Ludwig Witt,Onondaga,"2,309",am,-,"[('22.67', '-78.73')]"
23 Jul 1942,U-752,Karl-Ernst Schroeter,Garmula,"5,254",br,-,"[('5.53', '-14.75')]"
24 Jul 1942,U-77,Heinrich Schonder,Toufic El Rahman,30,sy,-,"[('34.85', '34.70')]"
25 Jul 1942,U-130,Ernst Kals,Tankexpress,"10,095",nw,-,"[('10.08', '-26.52')]"
25 Jul 1942,U-160,Georg Lassen,Telamon,"2,078",nl,-,"[('9.25', '-59.90')]"
25 Jul 1942,U-201,Adalbert Schnee,HMS Laertes (T 137),545,br,-,"[('6.00', '-14.28')]"
25 Jul 1942,U-552,Erich Topp,British Merit (d.),"8,093",br,ON-113,
25 Jul 1942,U-552,Erich Topp,Broompark,"5,136",br,ON-113,"[('49.03', '-40.43')]"
25 Jul 1942,U-89,Dietrich Lohmann,Lucille M.,54,ca,-,"[('42.03', '-65.63')]"
26 Jul 1942,U-171,Günther Pfeffer,Oaxaca,"4,351",me,-,"[('28.38', '-96.13')]"
26 Jul 1942,U-607,Ernst Mengersen,Empire Rainbow (d.),"6,942",br,ON-113,
26 Jul 1942,U-66,Friedrich Markworth,Tamandaré,"4,942",bz,-,"[('11.57', '-60.50')]"
26 Jul 1942,U-704,Horst Wilhelm Kessler,Empire Rainbow,"6,942",br,ON-113,"[('47.13', '-42.95')]"
27 Jul 1942,U-130,Ernst Kals,Elmwood,"7,167",br,-,"[('4.80', '-22.00')]"
27 Jul 1942,U-582,Werner Schulte,Stella Lykes,"6,801",am,-,"[('6.67', '-25.08')]"
27 Jul 1942,U-752,Karl-Ernst Schroeter,Leikanger,"4,003",nw,FN-20,"[('4.00', '-18.00')]"
28 Jul 1942,U-155,Adolf Cornelius Piening,Barbacena,"4,772",bz,-,"[('13.17', '-56.00')]"
28 Jul 1942,U-155,Adolf Cornelius Piening,Piave,"2,347",bz,-,"[('12.50', '-55.82')]"
28 Jul 1942,U-66,Friedrich Markworth,Weirbank,"5,150",br,-,"[('11.48', '-58.85')]"
28 Jul 1942,U-754,Hans Oestermann,Ebb,260,am,-,"[('43.30', '-63.83')]"
29 Jul 1942,U-155,Adolf Cornelius Piening,Bill,"2,445",nw,-,"[('11.97', '-55.03')]"
29 Jul 1942,U-160,Georg Lassen,Prescodoc,"1,938",ca,-,"[('8.83', '-59.08')]"
30 Jul 1942,U-130,Ernst Kals,Danmark,"8,391",br,-,"[('7.00', '-24.32')]"
30 Jul 1942,U-132,Ernst Vogelsang,Pacific Pioneer,"6,734",br,ON-113,"[('43.50', '-60.58')]"
30 Jul 1942,U-155,Adolf Cornelius Piening,Cranford,"6,096",am,-,"[('12.28', '-55.18')]"
30 Jul 1942,U-166,Hans-Günther Kuhlmann,Robert E. Lee,"5,184",am,TAW-7,"[('28.62', '-88.50')]"
30 Jul 1942,U-375,Jürgen Koenenkamp,Amina,87,ag,-,"[('32.55', '32.30')]"
30 Jul 1942,U-375,Jürgen Koenenkamp,Ikbal,176,ag,-,"[('32.55', '32.30')]"
30 Jul 1942,U-77,Heinrich Schonder,Fany,43,ag,-,"[('35.75', '35.10')]"
1 Aug 1942,U-155,Adolf Cornelius Piening,Kentar,"5,878",nl,-,"[('11.87', '-57.50')]"
1 Aug 1942,U-601,Peter-Ottmar Grau,Krest’janin,"2,513",sj,-,"[('71.13', '52.32')]"
1 Aug 1942,U-77,Heinrich Schonder,St. Simon,85,ag,-,"[('34.05', '35.10')]"
2 Aug 1942,U-160,Georg Lassen,Treminnard,"4,694",br,-,"[('10.67', '-57.12')]"
2 Aug 1942,U-254,Hans Gilardone,Flora II,"1,218",br,-,"[('62.75', '-19.12')]"
2 Aug 1942,U-510,Karl Neitzel,Maldonado,"5,285",ur,-,"[('28.33', '-63.17')]"
2 Aug 1942,U-66,Friedrich Markworth,HMS MTB-339 (d.) [Mine],32,br,-,
2 Aug 1942,U-66,Friedrich Markworth,HMS MTB-342 (d.) [Mine],32,br,-,
3 Aug 1942,U-108,Klaus Scholtz,Tricula,"6,221",br,E-6,"[('11.58', '-56.85')]"
3 Aug 1942,U-552,Erich Topp,G.S. Walden (d.),"10,627",br,ON-115,
3 Aug 1942,U-552,Erich Topp,Lochkatrine,"9,419",br,ON-115,"[('45.87', '-46.73')]"
3 Aug 1942,U-553,Karl Thurmann,Belgian Soldier (d.),"7,167",be,ON-115,
3 Aug 1942,U-605,Herbert-Viktor Schütze,Bombay,229,br,-,"[('62.00', '-18.00')]"
