date,vessel,type,class
Royal Australian Navy,16 Jun 1942,HMAS Nestor (G 02),Destroyer
Royal Navy,16 Jun 1942,HMS Tranquil (FY 920),MS Trawler
Royal Navy,17 Jun 1942,HMS Vixen,Tug
Royal Navy,17 Jun 1942,HMS Wild Swan (D 62),Destroyer
Royal Navy,18 Jun 1942,HMS Vision,Tug
US Navy,19 Jun 1942,USS S-27 (132),Submarine
Royal Navy,19 Jun 1942,HMS SGB 7 (S 307),Steam Gunboat
Soviet Navy,19 Jun 1942,USSR ShCh-214,Submarine
Royal Navy,20 Jun 1942,HMS HDML 1039 (ML 1039),Harbour Defence Motor Launch
Royal Navy,20 Jun 1942,HMS HDML 1069 (ML 1069),Harbour Defence Motor Launch
Royal Navy,20 Jun 1942,HMS LCT 119 (LCT 119),Landing Craft Tank
Royal Navy,20 Jun 1942,HMS LCT 150 (LCT 150),Landing Craft Tank
Royal Navy,21 Jun 1942,HMS P 514 (P 514),Submarine
Soviet Navy,23 Jun 1942,USSR Smishlionny,Destroyer
Royal Navy,24 Jun 1942,HMS Gossamer (J 63),Minesweeper
Soviet Navy,26 Jun 1942,USSR A-1,Submarine
Soviet Navy,26 Jun 1942,USSR Bezuprechny,Destroyer
Soviet Navy,26 Jun 1942,USSR S-32,Submarine
Royal Navy,30 Jun 1942,HMS Medway (F 25),Submarine Depot Ship
Soviet Navy,Jul 1942,USSR M-176,Submarine
Soviet Navy,Jul 1942,USSR ShCh-317,Submarine
Soviet Navy,2 Jul 1942,USSR Bditelnyi,Destroyer
Soviet Navy,2 Jul 1942,USSR Tashkent,Flotilla leader
Royal Navy,5 Jul 1942,HMS Niger (i) (J 73),Minesweeper
Royal Navy,5 Jul 1942,HMS Sword Dance (T 132),ASW Trawler
Royal Navy,9 Jul 1942,HMS Manor (FY 333),ASW Trawler
Royal Dutch Navy,12 Jul 1942,HNMS Terschelling (i) (FY 174),Motor minesweeper
Soviet Navy,18 Jul 1942,USSR ShCh-138,Submarine
Royal Navy,21 Jul 1942,HMS MGB 328 (MGB 328),Motor Gun Boat
Royal Navy,24 Jul 1942,HMS MGB 601 (MGB 601),Motor Gun Boat
Royal Navy,25 Jul 1942,HMS Laertes (i) (T 137),MS Trawler
Royal Navy,27 Jul 1942,HMS MGB 501 (MGB 501),Motor Gun Boat
US Navy,31 Jul 1942,USS Grunion (216),Submarine
Soviet Navy,Aug 1942,USSR M-173,Submarine
Soviet Navy,Aug 1942,USSR ShCh-208,Submarine
US Navy,4 Aug 1942,USS Tucker (DD 374),Destroyer
Royal Navy,6 Aug 1942,HMS Thorn (N 11),Submarine
Royal Navy,7 Aug 1942,HMS MTB 237 (MTB 237),Motor Torpedo Boat
Royal Navy,7 Aug 1942,HMS MTB 44 (MTB 44),Motor Torpedo Boat
US Navy,9 Aug 1942,USS Astoria (i) (CA 34),Heavy cruiser
Royal Australian Navy,9 Aug 1942,HMAS Canberra (D 33),Heavy cruiser
US Navy,9 Aug 1942,USS Jarvis (i) (DD 393),Destroyer
Royal Navy,9 Aug 1942,HMS ML 301 (ML 301),Motor Launch
US Navy,9 Aug 1942,USS Quincy (i) (CA 39),Heavy cruiser
US Navy,9 Aug 1942,USS Vincennes (i) (CA 44),Heavy cruiser
Royal Navy,11 Aug 1942,HMS Eagle (94),Aircraft Carrier
Royal Navy,12 Aug 1942,HMS Cairo (D 87),Light cruiser
Royal Navy,13 Aug 1942,HMS Foresight (H 68),Destroyer
Royal Navy,13 Aug 1942,HMS Manchester (15),Light cruiser
Soviet Navy,15 Aug 1942,USSR M-97,Submarine
US Navy,16 Aug 1942,USS S-39 (144),Submarine
Royal Navy,18 Aug 1942,HMS MTB 218 (MTB 218),Motor Torpedo Boat
Royal Navy,18 Aug 1942,HMS MTB 43 (MTB 43),Motor Torpedo Boat
Royal Navy,19 Aug 1942,HMS Berkeley (L 17),Escort destroyer
Royal Navy,19 Aug 1942,HMS LCT 121 (LCT 121),Landing Craft Tank
Royal Navy,19 Aug 1942,HMS LCT 122 (LCT 122),Landing Craft Tank
Royal Navy,19 Aug 1942,HMS LCT 124 (LCT 124),Landing Craft Tank
Royal Navy,19 Aug 1942,HMS LCT 126 (LCT 126),Landing Craft Tank
Royal Navy,19 Aug 1942,HMS LCT 145 (LCT 145),Landing Craft Tank
Royal Navy,19 Aug 1942,HMS LCT 159 (LCT 159),Landing Craft Tank
US Navy,22 Aug 1942,USS Ingraham (i) (DD 444),Destroyer
Soviet Navy,22 Aug 1942,USSR M-33,Submarine
US Navy,23 Aug 1942,USS Blue (i) (DD 387),Destroyer
Royal Navy,24 Aug 1942,HMS ML 103 (ML 103),Motor Launch
US Navy,30 Aug 1942,USS Colhoun (i) (APD 2),Destroyer
Soviet Navy,Sep 1942,USSR K-2,Submarine
Soviet Navy,Sep 1942,USSR M-60,Submarine
US Navy,5 Sep 1942,USS Gregory (i) (APD 3),Destroyer
US Navy,5 Sep 1942,USS Little (i) (APD 4),Destroyer
Royal Canadian Navy,7 Sep 1942,HMCS Raccoon,Armed Yacht
Royal Navy,10 Sep 1942,HMS MGB 335 (MGB 335),Motor Gun Boat
Royal Canadian Navy,11 Sep 1942,HMCS Charlottetown (i) (K 244),Corvette
Royal Navy,14 Sep 1942,HMS Coventry (D 43),Light cruiser
Royal Navy,14 Sep 1942,HMS ML 352 (ML 352),Motor Launch
Royal Navy,14 Sep 1942,HMS ML 353 (ML 353),Motor Launch
Royal Navy,14 Sep 1942,HMS MTB 308 (MTB 308),Motor Torpedo Boat
Royal Navy,14 Sep 1942,HMS MTB 310 (MTB 310),Motor Torpedo Boat
Royal Navy,14 Sep 1942,HMS MTB 312 (MTB 312),Motor Torpedo Boat
Royal Navy,14 Sep 1942,HMS MTB 314 (MTB 314),Motor Torpedo Boat
Royal Canadian Navy,14 Sep 1942,HMCS Ottawa (i) (H 60),Destroyer
Royal Navy,14 Sep 1942,HMS Sikh (F 82),Destroyer
Royal Navy,14 Sep 1942,HMS Zulu (F 18),Destroyer
US Navy,15 Sep 1942,USS Wasp (CV 7),Aircraft Carrier
Royal Navy,17 Sep 1942,HMS Talisman (N 78),Submarine
Royal Navy,17 Sep 1942,HMS Waterfly (FY 681),MS Trawler
Royal Navy,19 Sep 1942,HMS Alouette (FY 101),ASW Trawler
Royal Navy,19 Sep 1942,HMS Pentland Firth (FY 108),ASW Trawler
Royal Navy,20 Sep 1942,HMS Leda (J 93),Minesweeper
Royal Navy,20 Sep 1942,HMS Somali (F 33),Destroyer
Royal Navy,21 Sep 1942,HMS St. Olaves (W 40),Rescue Tug
Royal Australian Navy,25 Sep 1942,HMAS Voyager (D 31),Destroyer
Royal Navy,26 Sep 1942,HMS Veteran (D 72),Destroyer
Royal Navy,30 Sep 1942,HMS MGB 18 (MGB 18),Motor Gun Boat
Soviet Navy,Oct 1942,USSR ShCh-302,Submarine
Soviet Navy,Oct 1942,USSR ShCh-320,Submarine
Soviet Navy,1 Oct 1942,USSR M-118,Submarine
Royal Navy,2 Oct 1942,HMS Curacoa (D 41),Light cruiser
Royal Navy,2 Oct 1942,HMS Lord Stonehaven (FY 187),ASW Trawler
Royal Navy,3 Oct 1942,HMS MGB 78 (MGB 78),Motor Gun Boat
Royal Navy,6 Oct 1942,HMS MGB 76 (MGB 76),Motor Gun Boat
Royal Navy,6 Oct 1942,HMS MTB 29 (MTB 29),Motor Torpedo Boat
Royal Navy,7 Oct 1942,HMS Caroline Moller (W 09),Rescue Tug
Royal Navy,7 Oct 1942,HMS ML 339 (ML 339),Motor Launch
Soviet Navy,11 Oct 1942,USSR L-16,Submarine
US Navy,12 Oct 1942,USS Duncan (i) (DD 485),Destroyer
Soviet Navy,12 Oct 1942,USSR ShCh-311,Submarine
Royal Navy,14 Oct 1942,HMS LCT 2006 (LCT 2006),Landing craft tank
Soviet Navy,14 Oct 1942,USSR ShCh-213,Submarine
US Navy,15 Oct 1942,USS Meredith (i) (DD 434),Destroyer
Royal Indian Navy,16 Oct 1942,HMIS Lady Craddock,Auxiliary patrol vessel
US Navy,19 Oct 1942,USS O'Brien (i) (DD 415),Destroyer
Soviet Navy,21 Oct 1942,USSR S-7,Submarine
Royal Navy,24 Oct 1942,HMS Unique (N 95),Submarine
US Navy,25 Oct 1942,USS Seminole (AT 65),Fleet tug
US Navy,26 Oct 1942,USS Porter (i) (DD 356),Destroyer
Soviet Navy,26 Oct 1942,USSR ShCh-308,Submarine
US Navy,27 Oct 1942,USS Hornet (i) (CV 8),Aircraft carrier
Royal Navy,27 Oct 1942,HMS LCT 2281 (LCT 2281),Landing craft tank
Royal Navy,29 Oct 1942,HMS LCT 2190 (LCT 2190),Landing craft tank
Royal Navy,29 Oct 1942,HMS LCT 2192 (LCT 2192),Landing craft tank
Royal Navy,29 Oct 1942,HMS LCT 2284 (LCT 2284),Landing craft tank
Royal Navy,31 Oct 1942,HMS MTB 87 (MTB 87),Motor Torpedo Boat
French Navy,Nov 1942,FR La Sibylle,Submarine
Royal Navy,Nov 1942,HMS LCT 2187 (LCT 2187),Landing craft tank
Soviet Navy,Nov 1942,USSR M-121,Submarine
Soviet Navy,Nov 1942,USSR ShCh-304,Submarine
Soviet Navy,Nov 1942,USSR ShCh-306,Submarine
Royal Navy,Nov 1942,HMS Utmost (N 19),Submarine
Royal Navy,3 Nov 1942,HMS Baia,Tug
Soviet Navy,5 Nov 1942,USSR ShCh-305,Submarine
Royal Navy,6 Nov 1942,HMS MGB 19 (MGB 19),Motor Gun Boat
French Navy,8 Nov 1942,FR Actéon,Submarine
French Navy,8 Nov 1942,FR Amphitrite,Submarine
French Navy,8 Nov 1942,FR Argonaute,Submarine
French Navy,8 Nov 1942,FR Boulonnais,Destroyer
French Navy,8 Nov 1942,FR Brestois,Destroyer
Royal Navy,8 Nov 1942,HMS Broke (D 83),Destroyer
French Navy,8 Nov 1942,FR Fougueux,Destroyer
French Navy,8 Nov 1942,FR Frondeur,Destroyer
Royal Navy,8 Nov 1942,HMS Hartland (Y 00),Sloop
French Navy,8 Nov 1942,FR La Surprise,Minesweeper
French Navy,8 Nov 1942,FR Milan,Large destroyer
French Navy,8 Nov 1942,FR Primauguet,Light cruiser
French Navy,8 Nov 1942,FR Tornade,Destroyer
French Navy,8 Nov 1942,FR Tramontane,Destroyer
Royal Navy,8 Nov 1942,HMS Walney (Y 04),Sloop
French Navy,9 Nov 1942,FR Ariane,Submarine
Royal Navy,9 Nov 1942,HMS Cromer (J 128),Minesweeper
French Navy,9 Nov 1942,FR Danaé,Submarine
French Navy,9 Nov 1942,FR Diane,Submarine
French Navy,9 Nov 1942,FR Epervier,Large destroyer
Royal Navy,9 Nov 1942,HMS Gardenia (K 99),Corvette
French Navy,9 Nov 1942,FR Typhon,Destroyer
Royal Navy,10 Nov 1942,HMS Ibis (U 99),Sloop
Royal Navy,10 Nov 1942,HMS Martin (G 44),Destroyer
French Navy,10 Nov 1942,FR Méduse,Submarine
French Navy,11 Nov 1942,FR Sidi Ferruch,Submarine
Royal Navy,11 Nov 1942,HMS Unbeaten (N 93),Submarine
Royal Navy,12 Nov 1942,HMS Hecla (i) (F 20),Destroyer Depot Ship
Royal Navy,12 Nov 1942,HMS Karanja (F 128),Landing Ship Infantry
Royal Navy,12 Nov 1942,HMS Tynwald (D 69),Anti-Aircraft ship
US Navy,13 Nov 1942,USS Atlanta (i) (CL 51),Anti-aircraft cruiser
US Navy,13 Nov 1942,USS Barton (i) (DD 599),Destroyer
US Navy,13 Nov 1942,USS Cushing (DD 376),Destroyer
Royal Dutch Navy,13 Nov 1942,HNMS Isaac Sweers (G 83),Destroyer
US Navy,13 Nov 1942,USS Juneau (CL 52),Anti-aircraft cruiser
US Navy,13 Nov 1942,USS Laffey (i) (DD 459),Destroyer
French Navy,13 Nov 1942,FR Le Conquérant,Submarine
US Navy,13 Nov 1942,USS Monssen (i) (DD 436),Destroyer
Royal Navy,15 Nov 1942,HMS Algerine (J 213),Minesweeper
Royal Navy,15 Nov 1942,HMS Avenger (D 14),Escort carrier
US Navy,15 Nov 1942,USS Benham (i) (DD 397),Destroyer
French Navy,15 Nov 1942,FR Le Tonnant,Submarine
US Navy,15 Nov 1942,USS Preston (i) (DD 379),Destroyer
US Navy,15 Nov 1942,USS Walke (i) (DD 416),Destroyer
Royal Hellenic Navy,16 Nov 1942,RHS Triton (Y 5),Submarine
Royal Norwegian Navy,18 Nov 1942,HNoMS Montbretia (K 208),Corvette
Royal Navy,19 Nov 1942,HMS Ullswater (FY 252),ASW Whaler
Royal Navy,20 Nov 1942,HMS LCT 120 (LCT 120),Landing Craft Tank
Soviet Navy,22 Nov 1942,USSR Sokrushitelny,Destroyer
Royal Navy,25 Nov 1942,HMS Leyland (FY 103),ASW Trawler
French Navy,27 Nov 1942,FR Bordelais,Destroyer
French Navy,27 Nov 1942,FR Casque,Destroyer
French Navy,27 Nov 1942,FR Cassard,Large destroyer
French Navy,27 Nov 1942,FR Colbert,Heavy cruiser
French Navy,27 Nov 1942,FR D'Iberville,Colonial sloop
French Navy,27 Nov 1942,FR Dunkerque,Battlecruiser
French Navy,27 Nov 1942,FR Foch,Heavy cruiser
French Navy,27 Nov 1942,FR Jean de Vienne,Light cruiser
French Navy,27 Nov 1942,FR Kersaint,Large destroyer
French Navy,27 Nov 1942,FR L'Espoire,Submarine
French Navy,27 Nov 1942,FR L'Indomptable,Large destroyer
French Navy,27 Nov 1942,FR La Galissonniere,Light cruiser
French Navy,27 Nov 1942,FR La Palme,Destroyer
French Navy,27 Nov 1942,FR Le Corsaire,Destroyer
French Navy,27 Nov 1942,FR Le Flibustier,Destroyer
French Navy,27 Nov 1942,FR Le Hardi,Destroyer
French Navy,27 Nov 1942,FR Le Mars,Destroyer
French Navy,27 Nov 1942,FR Les Esparges,Gunboat
French Navy,27 Nov 1942,FR Mameluk,Destroyer
French Navy,27 Nov 1942,FR Marseillaise,Light cruiser
French Navy,27 Nov 1942,FR Naiade,Submarine
French Navy,27 Nov 1942,FR Pascal,Submarine
French Navy,27 Nov 1942,FR Tartu,Large destroyer
French Navy,27 Nov 1942,FR Vauban,Large destroyer
French Navy,27 Nov 1942,FR Vauquelin,Large destroyer
French Navy,27 Nov 1942,FR Vengeur,Submarine
French Navy,27 Nov 1942,FR Vénus,Submarine
Royal Navy,28 Nov 1942,HMS Ithuriel (H 05),Destroyer
Royal Navy,29 Nov 1942,HMS ML 242 (ML 242),Motor Launch
Soviet Navy,Dec 1942,USSR L-24,Submarine
Royal Navy,Dec 1942,HMS LCT 2053 (LCT 2053),Landing craft tank
Royal Navy,Dec 1942,HMS LCT 2054 (LCT 2054),Landing craft tank
Royal Navy,Dec 1942,HMS LCT 2312 (LCT 2312),Landing craft tank
Soviet Navy,Dec 1942,USSR ShCh-212,Submarine
Royal Australian Navy,1 Dec 1942,HMAS Armidale (J 240),Minesweeper
Royal Navy,1 Dec 1942,HMS Jasper (i) (T 14),ASW Trawler
US Navy,1 Dec 1942,USS Northampton (CA 26),Heavy cruiser
Royal Navy,2 Dec 1942,HMS Quentin (G 78),Destroyer
Royal Navy,3 Dec 1942,HMS Penylan (L 89),Escort destroyer
Royal Navy,5 Dec 1942,HMS Bengali (FY 165),ASW Trawler
Royal Navy,5 Dec 1942,HMS Canna (T 161),MS Trawler
US Navy,5 Dec 1942,USS Erie (PG-50),Gunboat
Royal Navy,5 Dec 1942,HMS Spaniard (FY 144),ASW Trawler
Royal Navy,9 Dec 1942,HMS Marigold (K 87),Corvette
Royal Navy,11 Dec 1942,HMS Blean (L 47),Escort destroyer
Royal Navy,12 Dec 1942,HMS P 222 (P 222),Submarine
US Navy,12 Dec 1942,USS PT 44,Motor torpedo boat
Royal Navy,12 Dec 1942,HMS Traveller (N 48),Submarine
Royal Navy,17 Dec 1942,HMS Firedrake (H 79),Destroyer
Soviet Navy,17 Dec 1942,USSR M-31,Submarine
Royal Navy,18 Dec 1942,HMS MTB 30 (MTB 30),Motor Torpedo Boat
Royal Navy,18 Dec 1942,HMS Partridge (G 30),Destroyer
Royal Navy,19 Dec 1942,HMS Snapdragon (K 10),Corvette
Royal Navy,25 Dec 1942,HMS P 48 (P 48),Submarine
Royal Navy,28 Dec 1942,HMS St. Issey (W 25),Rescue Tug
US Navy,29 Dec 1942,USS Wasmuth (DMS 15),Destroyer
Royal Navy,31 Dec 1942,HMS Achates (i) (H 12),Destroyer
Royal Navy,31 Dec 1942,HMS Bramble (i) (J 11),Minesweeper
Royal Navy,1943,HMS LCT 391 (LCT 391),Landing Craft Tank
US Navy,1 Jan 1943,USS LCT 21 (LCT 21),Landing craft tank
Royal Navy,1 Jan 1943,HMS MTB 105 (MTB 105),Motor Torpedo Boat
Royal Navy,2 Jan 1943,HMS Alarm (J 140),Minesweeper
US Navy,2 Jan 1943,USS Grebe (AM 43),Minesweeper
Royal Navy,6 Jan 1943,HMS LCT 106 (LCT 106),Landing Craft Tank
Royal Navy,6 Jan 1943,HMS LCT 107 (LCT 107),Landing Craft Tank
Royal Navy,7 Jan 1943,HMS Horatio (T 153),MS Trawler
Royal Navy,7 Jan 1943,HMS Jura (T 169),MS Trawler
Royal Navy,8 Jan 1943,HMS P 311 (P 311),Submarine
US Navy,10 Jan 1943,USS Argonaut (i) (166),Submarine
US Navy,11 Jan 1943,USS PT 112,Motor torpedo boat
US Navy,11 Jan 1943,USS PT 43,Motor torpedo boat
Royal Navy,12 Jan 1943,HMS Kingston Jacinth (4.45),ASW Trawler
US Navy,12 Jan 1943,USS PT 28,Motor torpedo boat
US Navy,12 Jan 1943,USS Worden (DD 352),Destroyer
Royal Navy,17 Jan 1943,HMS LCT 2239 (LCT 2239),Landing craft tank
Royal Navy,17 Jan 1943,HMS LCT 2267 (LCT 2267),Landing craft tank
Royal Navy,17 Jan 1943,HMS LCT 2344 (LCT 2344),Landing craft tank
US Navy,21 Jan 1943,USS SC-709 (SC-709),Submarine chaser
Royal Navy,25 Jan 1943,HMS Corncrake (M 82),Minelayer
US Navy,30 Jan 1943,USS Chicago (i) (CA 29),Heavy cruiser
Royal Navy,30 Jan 1943,HMS Samphire (K 128),Corvette
US Navy,1 Feb 1943,USS De Haven (i) (DD 469),Destroyer
US Navy,1 Feb 1943,USS PT 111,Motor torpedo boat
US Navy,1 Feb 1943,USS PT 123,Motor torpedo boat
US Navy,1 Feb 1943,USS PT 37,Motor torpedo boat
Royal Navy,1 Feb 1943,HMS Welshman (M 84),Minelayer
Royal Navy,2 Feb 1943,HMS LCT 326 (LCT 326),Landing Craft Tank
Royal Navy,5 Feb 1943,HMS Stronsay (T 178),MS Trawler
Royal Canadian Navy,6 Feb 1943,HMCS Louisburg (i) (K 143),Corvette
Soviet Navy,7 Feb 1943,USSR K-22,Submarine
Royal Navy,7 Feb 1943,HMS LCI(L)-162 (LCI(L)-162),Landing Craft Infantry
Royal Navy,7 Feb 1943,HMS MGB 109 (MGB 109),Motor Gun Boat
Royal Navy,7 Feb 1943,HMS Tervani (4.110),MS Trawler
Royal Navy,8 Feb 1943,HMS Bredon (T 223),ASW Trawler
Royal Navy,8 Feb 1943,HMS LCT 2335 (LCT 2335),Landing craft tank
Royal Navy,9 Feb 1943,HMS Erica (K 50),Corvette
Royal Navy,13 Feb 1943,HMS Pozarica (4.261),Anti-Aircraft ship
US Navy,16 Feb 1943,USS Amberjack (i) (219),Submarine
US Navy,20 Feb 1943,USS YMS-133 (YMS-133),Minesweeper
Royal Canadian Navy,22 Feb 1943,HMCS Weyburn (K 173),Corvette
Royal Navy,24 Feb 1943,HMS LCT 403 (LCT 403),Landing Craft Tank
Royal Navy,24 Feb 1943,HMS MTB 262 (MTB 262),Motor Torpedo Boat
Royal Norwegian Navy,24 Feb 1943,HNoMS Uredd (P 41),Submarine
Royal Navy,24 Feb 1943,HMS Vandal (P 64),Submarine
Royal Dutch Navy,27 Feb 1943,HNMS Colombia,Submarine Depot Ship
Royal Navy,27 Feb 1943,HMS LCT 381 (LCT 381),Landing Craft Tank
Royal Navy,27 Feb 1943,HMS Lord Hailsham (FY 109),ASW Trawler
Royal Navy,28 Feb 1943,HMS MGB 79 (MGB 79),Motor Gun Boat
Royal Navy,Mar 1943,HMS Thunderbolt (N 25),Submarine
US Navy,2 Mar 1943,USS SC-1024 (SC-1024),Submarine chaser
US Navy,5 Mar 1943,USS Grampus (i) (207),Submarine
Royal Navy,6 Mar 1943,HMS ML 251 (ML 251),Motor Launch
Royal Navy,6 Mar 1943,HMS Turbulent (N 98),Submarine
Royal Navy,8 Mar 1943,HMS LCT 2480 (LCT 2480),Landing craft tank
Royal Navy,9 Mar 1943,HMS LCT 2341 (LCT 2341),Landing craft tank
Royal Navy,10 Mar 1943,HMS MGB 622 (MGB 622),Motor Gun Boat
Royal Navy,10 Mar 1943,HMS Tigris (N 63),Submarine
Royal Navy,11 Mar 1943,HMS Harvester (H 19),Destroyer
Royal Navy,11 Mar 1943,HMS LCT 2398 (LCT 2398),Landing craft tank
Royal Navy,12 Mar 1943,HMS Lightning (G 55),Destroyer
Royal Norwegian Navy,14 Mar 1943,HNoMS MGB 631 (MGB 631),Motor Gun Boat
Royal Navy,14 Mar 1943,HMS Moravia (FY 1819),MS Trawler
Royal Navy,16 Mar 1943,HMS Campobello (T 278),MS Trawler
Royal Navy,16 Mar 1943,HMS Horsa (W 97),Rescue Tug
US Navy,17 Mar 1943,USS PT 119,Motor torpedo boat
US Navy,17 Mar 1943,USS PT 67,Motor torpedo boat
Soviet Navy,21 Mar 1943,USSR K-3,Submarine
Royal Navy,22 Mar 1943,HMS HDML 1157 (ML 1157),Harbour Defence Motor Launch
Royal Navy,22 Mar 1943,HMS HDML 1212 (ML 1212),Harbour Defence Motor Launch
Royal Navy,27 Mar 1943,HMS Dasher (D 37),Escort Carrier
Royal Navy,31 Mar 1943,HMS Caulonia (4.163),MS Trawler
Royal Navy,Apr 1943,HMS LCI(L)-7 (LCI(L)-7),Landing Craft Infantry
Royal Indian Navy,2 Apr 1943,HMIS Haideri,Auxiliary patrol vessel
Royal Navy,2 Apr 1943,HMS MTB 267 (MTB 267),Motor Torpedo Boat
Royal Navy,2 Apr 1943,HMS MTB 63 (MTB 63),Motor Torpedo Boat
Royal Navy,2 Apr 1943,HMS MTB 64 (MTB 64),Motor Torpedo Boat
US Navy,7 Apr 1943,USS Aaron Ward (ii) (DD 483),Destroyer
Royal New Zealand Navy,7 Apr 1943,HMNZS Moa (T 233),MS Trawler
US Navy,8 Apr 1943,USS Kanawha (AO 1),Oiler
US Navy,10 Apr 1943,USS Triton (201),Submarine
Royal Navy,11 Apr 1943,HMS Beverley (H 64),Destroyer
Royal Norwegian Navy,14 Apr 1943,HNoMS Eskdale (L 36),Escort destroyer
Royal Navy,16 Apr 1943,HMS Pakenham (G 06),Destroyer
Royal Navy,18 Apr 1943,HMS P 615 (P 615),Submarine
Royal Navy,21 Apr 1943,HMS Splendid (P 228),Submarine
US Navy,22 Apr 1943,USS Grenadier (i) (210),Submarine
Royal Navy,22 Apr 1943,HMS Herring (T 307),ASW Trawler
Royal Navy,24 Apr 1943,HMS Sahib (P 212),Submarine
Royal Navy,28 Apr 1943,HMS MGB 639 (MGB 639),Motor Gun Boat
Royal Navy,1 May 1943,HMS Regent (N 41),Submarine
Soviet Navy,1 May 1943,USSR ShCh-323,Submarine
Royal Navy,2 May 1943,HMS MTB 311 (MTB 311),Motor Torpedo Boat
US Navy,3 May 1943,USS LCT 23 (LCT 23),Landing craft tank
Royal Australian Navy,7 May 1943,HMAS Adele (FY 089),Armed Yacht
French Navy,7 May 1943,FR L'Audacieux,Large destroyer
Royal Navy,8 May 1943,HMS Daneman (FY 123),ASW Trawler
Royal Navy,9 May 1943,HMS MTB 61 (MTB 61),Motor Torpedo Boat
Royal Navy,10 May 1943,HMS MTB 264 (MTB 264),Motor Torpedo Boat
Royal Navy,11 May 1943,HMS ML 133 (ML 133),Motor Launch
Royal Navy,12 May 1943,HMS MMS 89 (J 589),Motor minesweeper
US Navy,12 May 1943,USS Pickerel (i) (177),Submarine
Royal Navy,14 May 1943,HMS HDML 1154 (ML 1154),Harbour Defence Motor Launch
Soviet Navy,14 May 1943,USSR M-122,Submarine
US Navy,23 May 1943,USS PT 165,Motor torpedo boat
US Navy,23 May 1943,USS PT 173,Motor torpedo boat
Soviet Navy,26 May 1943,USSR ShCh-408,Submarine
Free French Navy,27 May 1943,FFL Léopard,Large destroyer
Royal Navy,29 May 1943,HMS MGB 110 (MGB 110),Motor Gun Boat
US Navy,30 May 1943,USS LCT 28 (LCT 28),Landing craft tank
Soviet Navy,Jun 1943,USSR ShCh-406,Submarine
US Navy,4 Jun 1943,USS PC-496 (PC-496),Patrol craft
Royal Navy,6 Jun 1943,HMS Sargasso (FY 053),Armed Yacht
Royal Australian Navy,11 Jun 1943,HMAS Wallaroo (J 222),Minesweeper
US Navy,12 Jun 1943,USS R-12 (89),Submarine
United States Coast Guard,13 Jun 1943,USCGC Escanaba (WPG 77),Cutter
Royal Navy,14 Jun 1943,HMS MGB 648 (MGB 648),Motor Gun Boat
US Navy,17 Jun 1943,USS SC-740 (SC-740),Submarine chaser
Royal Navy,18 Jun 1943,HMS LCT 358 (LCT 358),Landing Craft Tank
Royal Navy,18 Jun 1943,HMS LCT 395 (LCT 395),Landing Craft Tank
US Navy,22 Jun 1943,USS SC-751 (SC-751),Submarine chaser
Royal Navy,26 Jun 1943,HMS MGB 644 (MGB 644),Motor Gun Boat
US Navy,29 Jun 1943,USS Redwing (ARS 4),Minesweeper
Soviet Navy,Jul 1943,USSR ShCh-422,Submarine
US Navy,1 Jul 1943,USS Runner (i) (275),Submarine
US Navy,2 Jul 1943,USS PT 153,Motor torpedo boat
US Navy,2 Jul 1943,USS PT 158,Motor torpedo boat
Royal Navy,3 Jul 1943,HMS LST 429 (LST 429),Tank landing ship
Soviet Navy,5 Jul 1943,USSR M-106,Submarine
US Navy,5 Jul 1943,USS Strong (i) (DD 467),Destroyer
US Navy,6 Jul 1943,USS Helena (i) (CL 50),Light cruiser
US Navy,6 Jul 1943,USS LST 333 (LST 333),Tank landing ship
Royal Navy,8 Jul 1943,HMS LCT 547 (LCT 547),Landing Craft Tank
Royal Navy,10 Jul 1943,HMS LCT 154 (LCT 154),Landing Craft Tank
Royal Navy,10 Jul 1943,HMS LCT 311 (LCT 311),Landing Craft Tank
US Navy,10 Jul 1943,USS LST 313 (LST 313),Tank landing ship
US Navy,10 Jul 1943,USS Maddox (ii) (DD 622),Destroyer
US Navy,11 Jul 1943,USS LST 158 (LST 158),Tank landing ship
US Navy,12 Jul 1943,USS Sentinel (AM 113),Minesweeper
US Navy,13 Jul 1943,USS Gwin (i) (DD 433),Destroyer
Royal Navy,14 Jul 1943,HMS MGB 641 (MGB 641),Motor Gun Boat
Royal Navy,17 Jul 1943,HMS MTB 316 (MTB 316),Motor Torpedo Boat
US Navy,18 Jul 1943,USS LST 342 (LST 342),Tank landing ship
US Navy,20 Jul 1943,USS PT 166,Motor torpedo boat
Royal Navy,22 Jul 1943,HMS MTB 288 (MTB 288),Motor Torpedo Boat
US Navy,23 Jul 1943,USS LCT 196 (LCT 196),Landing craft tank
Royal Navy,27 Jul 1943,HMS LCT 353 (LCT 353),Landing Craft Tank
Royal Norwegian Navy,28 Jul 1943,HNoMS MTB 345 (MTB 345),Motor Torpedo Boat
Royal Navy,Aug 1943,HMS Parthian (N 75),Submarine
Soviet Navy,Aug 1943,USSR S-12,Submarine
Soviet Navy,Aug 1943,USSR S-9,Submarine
US Navy,1 Aug 1943,USS PT 117,Motor torpedo boat
US Navy,1 Aug 1943,USS PT 164,Motor torpedo boat
US Navy,2 Aug 1943,USS PT 109,Motor torpedo boat
Royal Navy,5 Aug 1943,HMS Red Gauntlet (FY 900),MS Trawler
